job_id,title,company_name,company_name_normalized,location,location_normalized,work_mode,posted_at,employment_type,seniority_level,offered_salary_min,offered_salary_max,offered_salary_currency,salary_period,salary_is_predicted,offered_salary_min_usd,offered_salary_max_usd,benefits,benefits_normalized,skill_score,semantic_score,score_total,matched_skills,status,apply_url,geocode_lat,geocode_lon
adzuna:5401628174,Material Program Manager,Snap Inc.,,"Palo Alto, Santa Clara County",,onsite,2025-09-16,,,123219.62,123219.62,USD,yearly,,123219.62,123219.62,,,0.0,0.5862319767475128,0.376,,new,https://www.adzuna.com/details/5401628174?utm_medium=api&utm_source=e1a466cc,37.443254,-122.149828
adzuna:5405237739,Technical Program Manager,Asteelflash USA Corp.,,"Milpitas, Santa Clara County",,onsite,2025-09-18,,,69141.5,69141.5,USD,yearly,,69141.5,69141.5,,,0.0,0.606996662914753,0.4293,product management,new,https://www.adzuna.com/details/5405237739?utm_medium=api&utm_source=e1a466cc,37.428272,-121.906624
adzuna:5404221926,Material Program Manager,Snap,,"Palo Alto, Santa Clara County",,onsite,2025-09-17,full_time,,162000.0,241000.0,USD,yearly,,162000.0,241000.0,,,0.0,0.5777390524744987,0.3932,,new,https://www.adzuna.com/details/5404221926?utm_medium=api&utm_source=e1a466cc,37.445797,-122.157575
adzuna:5404983915,Program Manager III - Care Experience (Program Manager III),Kaiser Permanente,,"Dublin, Alameda County",,onsite,2025-09-18,,,150261.25,150261.25,USD,yearly,,150261.25,150261.25,medical,,0.0,0.6063763424754143,0.4291,,new,https://www.adzuna.com/details/5404983915?utm_medium=api&utm_source=e1a466cc,37.686694,-121.892624
adzuna:5401626495,Program Manager III - Care Experience (Program Manager III),Kaiser,,"Pleasanton, Alameda County",,onsite,2025-09-16,,,163052.45,163052.45,USD,yearly,,163052.45,163052.45,medical,,0.0,0.6063763424754143,0.3831,,new,https://www.adzuna.com/details/5401626495?utm_medium=api&utm_source=e1a466cc,37.64362,-121.867646
adzuna:5401672609,Program Manager – Mfg. Operations,"Trilyon, Inc.",,"Holy, Santa Clara County",,onsite,2025-09-16,,,77792.0,99008.0,USD,yearly,,77792.0,99008.0,,,0.0,0.7423804253339767,0.4307,program management,new,https://www.adzuna.com/details/5401672609?utm_medium=api&utm_source=e1a466cc,37.396999,-121.953652
adzuna:5401672287,Technical Program Manager II,Alpha Net,,"Sunnyvale, Santa Clara County",,onsite,2025-09-16,,,144891.9,144891.9,USD,yearly,,144891.9,144891.9,,,0.147624,0.678197592496872,0.4599,"Documentation, strategic planning, program management, risk management",new,https://www.adzuna.com/details/5401672287?utm_medium=api&utm_source=e1a466cc,37.376099,-122.02194
adzuna:5405943283,"Sr. Manager, Program Management",Maxar Space,,"Palo Alto, Santa Clara County",,onsite,2025-09-18,full_time,,170000.0,284000.0,USD,yearly,,170000.0,284000.0,,,0.0,0.7343292236328125,0.4738,"program management, risk management",new,https://www.adzuna.com/details/5405943283?utm_medium=api&utm_source=e1a466cc,37.445797,-122.157575
adzuna:5404986040,Operations Program Manager 1,Northrop Grumman,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,,,205088.8,205088.8,USD,yearly,,205088.8,205088.8,,,0.0,0.6158714070916176,0.4324,,new,https://www.adzuna.com/details/5404986040?utm_medium=api&utm_source=e1a466cc,37.376099,-122.02194
adzuna:5404786614,Program Manager (Supply Chain),Introlligent Inc.,,"Cupertino, Santa Clara County",,hybrid,2025-09-18,,,56037.37,56037.37,USD,yearly,,56037.37,56037.37,,,0.132464,0.7297226786613464,0.5186,"Documentation, product management, program management, risk management, change management, agile",new,https://www.adzuna.com/details/5404786614?utm_medium=api&utm_source=e1a466cc,37.322998,-122.032182
