job_id,title,company_name,company_name_normalized,score_total,skill_score,semantic_score,recency_score,seniority_component,matched_skills,base_extracted,resume_overlap,overlap_added,semantic_added,rationale_text,weights_snapshot,thresholds_snapshot,matching_snapshot,status,apply_url
adzuna:5404983922,Senior Director of CA & HI Product (Health Insurance Products),Kaiser Permanente,,0.4472,0.0,0.6582919210195541,0.7788007830714049,1.0,data pipeline,data pipeline,,,,Skill match 0.00 | Contextual similarity 0.66 | Recency 0.78 | Seniority adj 1.00 | key=data pipeline,,,,new,https://www.adzuna.com/details/5404983922?utm_medium=api&utm_source=e1a466cc
adzuna:5404985915,Senior Business Planner - Microsoft Advertising,Microsoft Corporation,,0.4103,0.0,0.552793838083744,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.55 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5404985915?utm_medium=api&utm_source=e1a466cc
adzuna:5401626733,BIM Manager,Parsons Corporation,,0.3774,0.0,0.5902525782585144,0.4723665527410147,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.59 | Recency 0.47 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5401626733?utm_medium=api&utm_source=e1a466cc
adzuna:5401222269,"Manager, Account Support",Visa,,0.3764,0.0,0.5872429683804512,0.4723665527410147,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.59 | Recency 0.47 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5401222269?utm_medium=api&utm_source=e1a466cc
adzuna:5404905866,Animal Technician,"A.P.R., Inc. ",,0.4121,0.0,0.5579912103712559,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.56 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/land/ad/5404905866?se=_lBpifWU8BGiM5twZbwYxg&utm_medium=api&utm_source=e1a466cc&v=3F4AEE182C80D2510F39C0C30F37B23260C6C2D8
adzuna:5403327579,Solutions Consultant III,"Adecco US, Inc.",,0.4193,0.0,0.6523137986660004,0.6065306597126334,1.0,program management,program management,,,,Skill match 0.00 | Contextual similarity 0.65 | Recency 0.61 | Seniority adj 1.00 | key=program management,,,,new,https://www.adzuna.com/details/5403327579?utm_medium=api&utm_source=e1a466cc
adzuna:5401304485,"Director, Project Controls",Pacific Gas And Electric Company,,0.4045,0.0,0.6674312651157379,0.4723665527410147,1.0,"program management, risk management","program management, risk management",,,,Skill match 0.00 | Contextual similarity 0.67 | Recency 0.47 | Seniority adj 1.00 | key=program management/risk management,,,,new,https://www.adzuna.com/details/5401304485?utm_medium=api&utm_source=e1a466cc
adzuna:5401459436,"Executive Producer, Influencer Marketing - Remote",Collectively,,0.3918,0.0,0.6311652660369873,0.4723665527410147,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.63 | Recency 0.47 | Seniority adj 1.00,,,,new,https://www.adzuna.com/land/ad/5401459436?se=_lBpifWU8BGiM5twZbwYxg&utm_medium=api&utm_source=e1a466cc&v=D83E03122AA354386770314FC99D0A923AED4B5D
adzuna:5406014533,Growth Associate,Cro Metrics,,0.4414,0.0,0.6417184472084045,0.7788007830714049,1.0,"cost optimization, metrics","cost optimization, metrics",,,,Skill match 0.00 | Contextual similarity 0.64 | Recency 0.78 | Seniority adj 1.00 | key=cost optimization/metrics,,,,new,https://www.adzuna.com/details/5406014533?utm_medium=api&utm_source=e1a466cc
adzuna:5406024329,(TEMP/INTERIM) Newcomer Service Site Coordinator,Good Samaritan Family Resource Center Of San Francisco,,0.4174,0.0,0.5732115432620049,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.57 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5406024329?utm_medium=api&utm_source=e1a466cc
adzuna:5404873625,Civil Engineering Project Manager (San Francisco),KPFF Consulting Engineers,,0.4426,0.0,0.6450329720973969,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.65 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5404873625?utm_medium=api&utm_source=e1a466cc
adzuna:5404293321,Program Coordinator (Temporary),The Biomimicry Institute,,0.3981,0.0,0.5918277874588966,0.6065306597126334,1.0,rest api,rest api,,,,Skill match 0.00 | Contextual similarity 0.59 | Recency 0.61 | Seniority adj 1.00 | key=rest api,,,,new,https://www.adzuna.com/details/5404293321?utm_medium=api&utm_source=e1a466cc
adzuna:5405268554,Child Development Specialist,Brighter Beginnings,,0.4114,0.0,0.5560292825102806,0.7788007830714049,1.0,program management,program management,,,,Skill match 0.00 | Contextual similarity 0.56 | Recency 0.78 | Seniority adj 1.00 | key=program management,,,,new,https://www.adzuna.com/details/5405268554?utm_medium=api&utm_source=e1a466cc
adzuna:5404873599,"Director, Strategy and Program (San Francisco)",eBay,,0.4307,0.0,0.6111886873841286,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.61 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5404873599?utm_medium=api&utm_source=e1a466cc
adzuna:5401459545,"Director, Strategy (Digital Experience) - Remote",HugeInc,,0.4076,0.0,0.6764720380306244,0.4723665527410147,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.68 | Recency 0.47 | Seniority adj 1.00,,,,new,https://www.adzuna.com/land/ad/5401459545?se=_lBpifWU8BGiM5twZbwYxg&utm_medium=api&utm_source=e1a466cc&v=F5443743EA09B92E9E6DB8DC7B6A36DD8ED25D7E
adzuna:5401624766,Design Phase Manager (Construction),AECOM,,0.3868,0.0,0.616861030459404,0.4723665527410147,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.62 | Recency 0.47 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5401624766?utm_medium=api&utm_source=e1a466cc
adzuna:5405275735,Associate Director,Abode,,0.4412,0.0,0.6409512460231781,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.64 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/land/ad/5405275735?se=_lBpifWU8BGiM5twZbwYxg&utm_medium=api&utm_source=e1a466cc&v=A0F509299B8BBA75BB1B77D498C463E10EFD1062
adzuna:5401626425,"Senior Director, Compliance",KAISER,,0.3811,0.0,0.6007420420646667,0.4723665527410147,1.0,compliance,compliance,,,,Skill match 0.00 | Contextual similarity 0.60 | Recency 0.47 | Seniority adj 1.00 | key=compliance,,,,new,https://www.adzuna.com/details/5401626425?utm_medium=api&utm_source=e1a466cc
adzuna:5405867212,Workplace Operations Specialist,Ripple,,0.4322,0.0,0.6153848618268967,0.7788007830714049,1.0,risk management,risk management,,,,Skill match 0.00 | Contextual similarity 0.62 | Recency 0.78 | Seniority adj 1.00 | key=risk management,,,,new,https://www.adzuna.com/details/5405867212?utm_medium=api&utm_source=e1a466cc
adzuna:5403002157,Senior Executive Director (San Francisco),YMCA of San Francisco,,0.3912,0.0,0.5719701051712036,0.6065306597126334,1.0,"program management, risk management, change management","program management, risk management, change management",,,,Skill match 0.00 | Contextual similarity 0.57 | Recency 0.61 | Seniority adj 1.00 | key=program management/risk management/change management,,,,new,https://www.adzuna.com/details/5403002157?utm_medium=api&utm_source=e1a466cc
adzuna:5405987559,SUD Counselor I- Palm Avenue Detox,Horizon Services,,0.4104,0.0,0.5530029609799385,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.55 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5405987559?utm_medium=api&utm_source=e1a466cc
adzuna:5405268467,Mental Health Clinician (bilingual),Brighter Beginnings,,0.4082,0.0,0.5468287505209446,0.7788007830714049,1.0,program management,program management,,,,Skill match 0.00 | Contextual similarity 0.55 | Recency 0.78 | Seniority adj 1.00 | key=program management,,,,new,https://www.adzuna.com/details/5405268467?utm_medium=api&utm_source=e1a466cc
adzuna:5405913985,"Senior Director, Compliance",Kaiser Permanente,,0.4271,0.0,0.6007420420646667,0.7788007830714049,1.0,compliance,compliance,,,,Skill match 0.00 | Contextual similarity 0.60 | Recency 0.78 | Seniority adj 1.00 | key=compliance,,,,new,https://www.adzuna.com/details/5405913985?utm_medium=api&utm_source=e1a466cc
adzuna:5403669014,"Director, IT Supply Chain Systems",Vaxcyte,,0.3976,0.0,0.5902860313653946,0.6065306597126334,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.59 | Recency 0.61 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5403669014?utm_medium=api&utm_source=e1a466cc
adzuna:5404916534,(Agile1) Direct Hire,Axelon Services Corporation,,0.4387,0.0,0.6338264346122742,0.7788007830714049,1.0,"change management, risk management, compliance, monitoring","change management, risk management, compliance, monitoring",,,,Skill match 0.00 | Contextual similarity 0.63 | Recency 0.78 | Seniority adj 1.00 | key=change management/risk management/compliance/monitoring,,,,new,https://www.adzuna.com/details/5404916534?utm_medium=api&utm_source=e1a466cc
adzuna:5401626254,Program Supervisor,Sevita,,0.3875,0.0,0.6190383955836296,0.4723665527410147,1.0,"program management, risk management","program management, risk management",,,,Skill match 0.00 | Contextual similarity 0.62 | Recency 0.47 | Seniority adj 1.00 | key=program management/risk management,,,,new,https://www.adzuna.com/details/5401626254?utm_medium=api&utm_source=e1a466cc
adzuna:5401416844,Program Supervisor,Sevita,,0.3894,0.0,0.6243502721190453,0.4723665527410147,1.0,"program management, risk management","program management, risk management",,,,Skill match 0.00 | Contextual similarity 0.62 | Recency 0.47 | Seniority adj 1.00 | key=program management/risk management,,,,new,https://www.adzuna.com/details/5401416844?utm_medium=api&utm_source=e1a466cc
adzuna:5404984164,"Senior Director, Compliance",Kaiser Permanente,,0.4271,0.0,0.6007420420646667,0.7788007830714049,1.0,compliance,compliance,,,,Skill match 0.00 | Contextual similarity 0.60 | Recency 0.78 | Seniority adj 1.00 | key=compliance,,,,new,https://www.adzuna.com/details/5404984164?utm_medium=api&utm_source=e1a466cc
adzuna:5404858661,Senior Mechanical Design Engineer (San Francisco),Analog Group,,0.4935,0.147624,0.6429626643657684,0.7788007830714049,1.0,"Documentation, product management, program management, risk management","product management, program management, risk management",Documentation,,,Skill match 0.15 | Contextual similarity 0.64 | Recency 0.78 | Seniority adj 1.00 | prov=resume:1 | key=Documentation/product management/program management/risk management,,,,new,https://www.adzuna.com/details/5404858661?utm_medium=api&utm_source=e1a466cc
